ax,ay,az,gx,gy,gz
0.06,0.2,1.0,-0.05,1.94,-1.53
0.06,0.19,0.99,-0.3,1.77,-1.59
0.06,0.19,1.0,-0.38,1.6,-1.63
0.07,0.19,0.99,-0.29,1.51,-1.66
0.07,0.19,0.99,-0.05,1.47,-1.66
0.07,0.19,0.99,-0.05,1.47,-1.66
0.07,0.19,0.99,0.32,1.49,-1.62
0.07,0.19,0.99,0.8,1.55,-1.54
0.07,0.19,0.99,1.4,1.65,-1.46
0.07,0.2,0.99,2.01,1.79,-1.4
0.06,0.21,0.99,2.56,1.94,-1.36
0.06,0.21,0.99,2.56,1.94,-1.36
0.06,0.22,1.0,2.91,2.13,-1.35
0.06,0.22,1.0,2.99,2.28,-1.36
